ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
9974,"GABBIANI, Anton Domenico",1651-1700,1691-92,Allegory of the Fine Arts under the Protection of Wisdom and Nature,Fresco,mythological,https://www.wga.hu/html/g/gabbiani/1medici1.html
9975,"GABBIANI, Anton Domenico",1651-1700,1698,Ceiling decoration,Fresco,mythological,https://www.wga.hu/html/g/gabbiani/2caiano.html
9976,"GABBIANI, Anton Domenico",1651-1700,c. 1684,Portrait of Four Servants of the Medici Court,"Oil on canvas, 205 x 140 cm",portrait,https://www.wga.hu/html/g/gabbiani/4servant.html
9977,"GABBIANI, Anton Domenico",1651-1700,c. 1685,Portrait of Anna Maria Luisa de' Medici as a Young Woman,"Oil on canvas, 96 x 87 cm",portrait,https://www.wga.hu/html/g/gabbiani/portrait.html
9978,"GABBIANI, Anton Domenico",1651-1700,c. 1687,Portrait of Three Musicians of the Medici Court,"Oil on canvas, 141 x 208 cm",portrait,https://www.wga.hu/html/g/gabbiani/3musici.html
9979,"GABBIANI, Anton Domenico",1651-1700,c. 1687,Portrait of Three Musicians of the Medici Court (detail),Oil on canvas,portrait,https://www.wga.hu/html/g/gabbiani/3musici1.html
9980,"GADDI, Agnolo",1351-1400,-,Madonna with Child (fragment),Fresco,religious,https://www.wga.hu/html/g/gaddi/agnolo/various/madonna.html
9981,"GADDI, Agnolo",1351-1400,1380-85,Coronation of the Virgin,"Egg tempera on wood, 184 x 94 cm",religious,https://www.wga.hu/html/g/gaddi/agnolo/various/coronati.html
9982,"GADDI, Agnolo",1351-1400,1380-85,Coronation of the Virgin (detail),Egg tempera on wood,religious,https://www.wga.hu/html/g/gaddi/agnolo/various/coronati1.html
9983,"GADDI, Agnolo",1351-1400,1380-85,Coronation of the Virgin (detail),Egg tempera on wood,religious,https://www.wga.hu/html/g/gaddi/agnolo/various/coronati2.html
9984,"GADDI, Agnolo",1351-1400,1380-85,Coronation of the Virgin (detail),Egg tempera on wood,religious,https://www.wga.hu/html/g/gaddi/agnolo/various/coronati3.html
9985,"GADDI, Agnolo",1351-1400,1380-85,Coronation of the Virgin (detail),Egg tempera on wood,religious,https://www.wga.hu/html/g/gaddi/agnolo/various/coronati4.html
9986,"GADDI, Agnolo",1351-1400,1380-85,Two panels with standing saints,"Tempera on wood, 196 x 52 cm (each)",religious,https://www.wga.hu/html/g/gaddi/agnolo/various/coronati5.html
9987,"GADDI, Agnolo",1351-1400,1385-87,Chancel chapels seen from the west,Fresco,religious,https://www.wga.hu/html/g/gaddi/agnolo/croce/0view.html
9988,"GADDI, Agnolo",1351-1400,1385-87,Scenes on the south wall,Fresco,religious,https://www.wga.hu/html/g/gaddi/agnolo/croce/1south1.html
9989,"GADDI, Agnolo",1351-1400,1385-87,Recovery of the Wood (left) from Which the True Cross is Constructed,Fresco,religious,https://www.wga.hu/html/g/gaddi/agnolo/croce/1south2.html
9990,"GADDI, Agnolo",1351-1400,1385-87,Retrieval and Trial of the Three Crosses,Fresco,religious,https://www.wga.hu/html/g/gaddi/agnolo/croce/1south3.html
9991,"GADDI, Agnolo",1351-1400,1385-87,Recovery of the Wood (detail),Fresco,religious,https://www.wga.hu/html/g/gaddi/agnolo/croce/1south4.html
9992,"GADDI, Agnolo",1351-1400,1385-87,Retrieval of the Three Crosses (detail),Fresco,religious,https://www.wga.hu/html/g/gaddi/agnolo/croce/1south5.html
9993,"GADDI, Agnolo",1351-1400,1385-87,Retrieval and Trial of the Three Crosses (detail),Fresco,religious,https://www.wga.hu/html/g/gaddi/agnolo/croce/1south6.html
9994,"GADDI, Agnolo",1351-1400,1385-87,Scenes on the north wall,Fresco,religious,https://www.wga.hu/html/g/gaddi/agnolo/croce/2north1.html
9995,"GADDI, Agnolo",1351-1400,1385-87,"Worshiping of Chosroës, Dream of Emperor Heraclius, and Heraclius's Combat with Chosroës's Son",Fresco,religious,https://www.wga.hu/html/g/gaddi/agnolo/croce/2north2.html
9996,"GADDI, Agnolo",1351-1400,1385-87,Emperor Heraclius Beheads Chosroës and Enters Jerusalem with the True Cross,Fresco,religious,https://www.wga.hu/html/g/gaddi/agnolo/croce/2north3.html
9997,"GADDI, Agnolo",1351-1400,1385-87,Emperor Heraclius Beheads Chosroës and Enters Jerusalem with the True Cross,Fresco,religious,https://www.wga.hu/html/g/gaddi/agnolo/croce/2north4.html
9998,"GADDI, Agnolo",1351-1400,1385-87,Dream of Emperor Heraclius,Fresco,religious,https://www.wga.hu/html/g/gaddi/agnolo/croce/2north5.html
9999,"GADDI, Agnolo",1351-1400,1385-87,Emperor Heraclius Enters Jerusalem with the True Cross,Fresco,religious,https://www.wga.hu/html/g/gaddi/agnolo/croce/2north6.html
10000,"GADDI, Agnolo",1351-1400,1385-87,Emperor Heraclius Enters Jerusalem with the True Cross,Fresco,religious,https://www.wga.hu/html/g/gaddi/agnolo/croce/2north7.html
10001,"GADDI, Agnolo",1351-1400,1387,The Feast of Herod,"Tempera on panel, 34 x 67 cm",religious,https://www.wga.hu/html/g/gaddi/agnolo/various/nobili.html
10002,"GADDI, Agnolo",1351-1400,1387-91,Virgin and Child with Saints,"Tempera on wood, 139 x 67 cm",religious,https://www.wga.hu/html/g/gaddi/agnolo/various/manetti.html
10003,"GADDI, Agnolo",1351-1400,1390-96,Crucifixion,"Tempera on wood, 57,5 x 77 cm",religious,https://www.wga.hu/html/g/gaddi/agnolo/various/crucifix.html
10004,"GADDI, Agnolo",1351-1400,1390s,Madonna and Child Enthroned with Music-Making Angels,"Tempera on panel, gold ground, reduced on all sides, 132 x 81 cm",religious,https://www.wga.hu/html/g/gaddi/agnolo/various/madonna1.html
10005,"GADDI, Agnolo",1351-1400,1390s,Madonna and Child Enthroned with Music-Making Angels (detail),"Tempera on panel, gold ground, reduced on all sides",religious,https://www.wga.hu/html/g/gaddi/agnolo/various/madonna2.html
10006,"GADDI, Agnolo",1351-1400,c. 1395,The Last Supper,"Tempera on wood, 61 x 42 cm",religious,https://www.wga.hu/html/g/gaddi/agnolo/various/lastsup.html
10007,"GADDI, Agnolo",1351-1400,c. 1395,The Last Supper (detail),Tempera on wood,religious,https://www.wga.hu/html/g/gaddi/agnolo/various/lastsup1.html
10008,"GADDI, Agnolo",1351-1400,c. 1395,The Last Supper (detail),Tempera on wood,religious,https://www.wga.hu/html/g/gaddi/agnolo/various/lastsup2.html
10009,"GADDI, Gaddo",1501-1550,1320s,Virgin with Child Enthroned and Two Saints,Panel,religious,https://www.wga.hu/html/g/gaddi/gaddo/virgin_c.html
10010,"GADDI, Taddeo",1301-1350,1330s,Allegory of the Cross,Fresco,religious,https://www.wga.hu/html/g/gaddi/taddeo/other/4refecto.html
10011,"GADDI, Taddeo",1301-1350,1333,Triptych (interior),"Poplar, 63 x 41 cm (central panel), 62 x 21 cm (each wing)",religious,https://www.wga.hu/html/g/gaddi/taddeo/panels/triptyc1.html
10012,"GADDI, Taddeo",1301-1350,1333,Triptych (exterior),"Poplar, 62 x 22 cm (each wing)",religious,https://www.wga.hu/html/g/gaddi/taddeo/panels/triptyc2.html
10013,"GADDI, Taddeo",1301-1350,1335-40,Pentecost,"Walnut, 35 x 27 cm",religious,https://www.wga.hu/html/g/gaddi/taddeo/panels/quatref1.html
10014,"GADDI, Taddeo",1301-1350,1335-40,St Francis Restoring a Boy to Life,"Walnut, 35 x 31 cm",religious,https://www.wga.hu/html/g/gaddi/taddeo/panels/quatref2.html
10015,"GADDI, Taddeo",1301-1350,1335-40,Scene from the Life of St Francis,"Walnut, 35 x 31 cm",religious,https://www.wga.hu/html/g/gaddi/taddeo/panels/quatref3.html
10016,"GADDI, Taddeo",1301-1350,1335-40,Scene from the Life of St Francis,"Walnut, 35 x 31 cm",religious,https://www.wga.hu/html/g/gaddi/taddeo/panels/quatref4.html
10017,"GADDI, Taddeo",1301-1350,1335-40,Scene from the Life of St Francis,"Walnut, 35 x 31 cm",religious,https://www.wga.hu/html/g/gaddi/taddeo/panels/quatref5.html
10018,"GADDI, Taddeo",1301-1350,1335-40,Scene from the Life of St Francis,"Walnut, 35 x 31 cm",religious,https://www.wga.hu/html/g/gaddi/taddeo/panels/quatref6.html
10019,"GADDI, Taddeo",1301-1350,1348-53,Assumption of St John the Evangelist,"Panel, 33 x 36 cm",religious,https://www.wga.hu/html/g/gaddi/taddeo/panels/panel1.html
10020,"GADDI, Taddeo",1301-1350,1348-53,St John the Evangelist Drinking from the Poisoned Cup,"Panel, 33 x 36 cm",religious,https://www.wga.hu/html/g/gaddi/taddeo/panels/panel2.html
10021,"GADDI, Taddeo",1301-1350,1355,Madonna and Child Enthroned with Angels and Saints,"Tempera on wood, 154 x 80 cm",religious,https://www.wga.hu/html/g/gaddi/taddeo/panels/madonna.html
10022,"GADDI, Taddeo",1301-1350,c. 1325,Nativity,"Tempera on panel, 36 x 37 cm",religious,https://www.wga.hu/html/g/gaddi/taddeo/panels/nativity.html
10023,"GADDI, Taddeo",1301-1350,c. 1330,View of the Baroncelli Chapel from the north,Fresco,religious,https://www.wga.hu/html/g/gaddi/taddeo/croce/01baronc.html
10024,"GADDI, Taddeo",1301-1350,c. 1330,View of the Baroncelli Chapel from the north,Fresco,religious,https://www.wga.hu/html/g/gaddi/taddeo/croce/02baronc.html
10025,"GADDI, Taddeo",1301-1350,c. 1330,View of the east wall of the Baroncelli Chapel,Fresco,religious,https://www.wga.hu/html/g/gaddi/taddeo/croce/03baronc.html
10026,"GADDI, Taddeo",1301-1350,c. 1330,Life of the Virgin (detail),Fresco,religious,https://www.wga.hu/html/g/gaddi/taddeo/croce/04baronc.html
10027,"GADDI, Taddeo",1301-1350,c. 1330,Expulsion of Joachim from the Temple,Fresco,religious,https://www.wga.hu/html/g/gaddi/taddeo/croce/05baronc.html
10028,"GADDI, Taddeo",1301-1350,c. 1330,Joachim and Anne Meeting at the Golden Gate,Fresco,religious,https://www.wga.hu/html/g/gaddi/taddeo/croce/06baronc.html
10029,"GADDI, Taddeo",1301-1350,c. 1330,Presentation of the Virgin,Fresco,religious,https://www.wga.hu/html/g/gaddi/taddeo/croce/07baronc.html
10030,"GADDI, Taddeo",1301-1350,c. 1330,Marriage of the Virgin,Fresco,religious,https://www.wga.hu/html/g/gaddi/taddeo/croce/09baronc.html
10031,"GADDI, Taddeo",1301-1350,c. 1330,Annunciation to the Shepherds,Fresco,religious,https://www.wga.hu/html/g/gaddi/taddeo/croce/10baronc.html
10032,"GADDI, Taddeo",1301-1350,c. 1330,Adoration of the Magi,Fresco,religious,https://www.wga.hu/html/g/gaddi/taddeo/croce/11baronc.html
10033,"GADDI, Taddeo",1301-1350,c. 1330,David,Fresco,religious,https://www.wga.hu/html/g/gaddi/taddeo/croce/12baronc.html
10034,"GADDI, Taddeo",1301-1350,c. 1330,Isaiah,Fresco,religious,https://www.wga.hu/html/g/gaddi/taddeo/croce/13baronc.html
10035,"GADDI, Taddeo",1301-1350,c. 1330,Vault of the east bay,Fresco,religious,https://www.wga.hu/html/g/gaddi/taddeo/croce/14baronc.html
10036,"GADDI, Taddeo",1301-1350,c. 1330,Vault of the west bay,Fresco,religious,https://www.wga.hu/html/g/gaddi/taddeo/croce/15baronc.html
10037,"GADDI, Taddeo",1301-1350,c. 1335-40,Entombment,Fresco,religious,https://www.wga.hu/html/g/gaddi/taddeo/other/5bardi.html
10038,"GADDI, Taddeo",1301-1350,c. 1345,Virgin and Child,"Poplar panel, gold ground, 85 x 37 cm",religious,https://www.wga.hu/html/g/gaddi/taddeo/panels/virgin_c.html
10039,"GADDI, Taddeo",1301-1350,c. 1360,Crucifixion,Fresco,religious,https://www.wga.hu/html/g/gaddi/taddeo/other/1crucifi.html
10040,"GADDI, Taddeo",1301-1350,c. 1360,"Last Supper, Tree of Life and Four Miracle Scenes","Fresco, 1120 x 1170 cm",religious,https://www.wga.hu/html/g/gaddi/taddeo/other/2refecto.html
10041,"GADDI, Taddeo",1301-1350,c. 1360,"Last Supper, Tree of Life and Four Miracle Scenes",Fresco,religious,https://www.wga.hu/html/g/gaddi/taddeo/other/3refecto.html
10042,"GAGNERAUX, Bénigne",1751-1800,-,Lion Hunt,"Oil on canvas, 45 x 56 cm",genre,https://www.wga.hu/html/g/gagnerau/lionhunt.html
10043,"GAINSBOROUGH, Thomas",1751-1800,-,Isaac Henrique Sequeira,"Oil on canvas, 127 x 102 cm",portrait,https://www.wga.hu/html/g/gainsbor/14sequei.html
10044,"GAINSBOROUGH, Thomas",1751-1800,1748-49,Mr and Mrs Andrews,"Oil on canvas, 70 x 119 cm",portrait,https://www.wga.hu/html/g/gainsbor/02andrew.html
10045,"GAINSBOROUGH, Thomas",1751-1800,1750s,Portrait of Mrs Elizabeth Edgar,"Oil on canvas, 61 x 51 cm",portrait,https://www.wga.hu/html/g/gainsbor/02edgar.html
10046,"GAINSBOROUGH, Thomas",1751-1800,1759-61,The Artist's Daughters with a Cat,"Oil on canvas, 75,6 x 62,9 cm",portrait,https://www.wga.hu/html/g/gainsbor/03daught.html
10047,"GAINSBOROUGH, Thomas",1751-1800,1760-65,Lady Alston,"Oil on canvas, 226 x 168 cm",portrait,https://www.wga.hu/html/g/gainsbor/040alsto.html
10048,"GAINSBOROUGH, Thomas",1751-1800,1764,"Mary, Countess of Howe","Oil on canvas, 244 x 152,4 cm",portrait,https://www.wga.hu/html/g/gainsbor/04m_howe.html
10049,"GAINSBOROUGH, Thomas",1751-1800,1764-65,Elizabeth Wrottesly,"Oil on canvas, 76 x 64 cm",portrait,https://www.wga.hu/html/g/gainsbor/041wrott.html
10050,"GAINSBOROUGH, Thomas",1751-1800,1768-70,River Landscape,"Oil on canvas, 119 x 168 cm",landscape,https://www.wga.hu/html/g/gainsbor/04riverl.html
10051,"GAINSBOROUGH, Thomas",1751-1800,1770,Master John Heathcote,"Oil on canvas, 127 x 101 cm",portrait,https://www.wga.hu/html/g/gainsbor/05master.html
10052,"GAINSBOROUGH, Thomas",1751-1800,1776,Johann Christian Bach,Oil on canvas,portrait,https://www.wga.hu/html/g/gainsbor/06jcbach.html
10053,"GAINSBOROUGH, Thomas",1751-1800,1776-77,Portrait of Sarah Buxton,"Oil on canvas, 110 x 87 cm",portrait,https://www.wga.hu/html/g/gainsbor/071buxto.html
10054,"GAINSBOROUGH, Thomas",1751-1800,1779-81,Portrait of a Lady in Blue,"Oil on canvas, 76 x 64 cm",portrait,https://www.wga.hu/html/g/gainsbor/07lady_b.html
10055,"GAINSBOROUGH, Thomas",1751-1800,1781,"Mrs. Mary Robinson (""Perdita"")","Oil on canvas, 234 x 153 cm",portrait,https://www.wga.hu/html/g/gainsbor/101perdi.html
10056,"GAINSBOROUGH, Thomas",1751-1800,1785,Mr and Mrs William Hallett ('The Morning Walk'),"Oil on canvas, 236 x 179 cm",portrait,https://www.wga.hu/html/g/gainsbor/10hallet.html
10057,"GAINSBOROUGH, Thomas",1751-1800,1785,Mrs Sarah Siddons,"Oil on canvas, 126 x 99,5 cm",portrait,https://www.wga.hu/html/g/gainsbor/11siddon.html
10058,"GAINSBOROUGH, Thomas",1751-1800,1787,The Marsham Children,"Oil on canvas, 243 x 182 cm",genre,https://www.wga.hu/html/g/gainsbor/12marsha.html
10059,"GAINSBOROUGH, Thomas",1751-1800,1787,Self-Portrait,Oil on canvas,portrait,https://www.wga.hu/html/g/gainsbor/13selfpo.html
10060,"GAINSBOROUGH, Thomas",1751-1800,1787,Lady Bate-Dudley,"Oil on canvas, 221 x 145 cm",portrait,https://www.wga.hu/html/g/gainsbor/15dudley.html
10061,"GAINSBOROUGH, Thomas",1751-1800,c. 1740,Conversation in a Park,"Oil on canvas, 73 x 68 cm",genre,https://www.wga.hu/html/g/gainsbor/01conver.html
10062,"GAINSBOROUGH, Thomas",1751-1800,c. 1750,Landscape in Suffolk,"Oil on canvas, 65 x 95 cm",landscape,https://www.wga.hu/html/g/gainsbor/02landsc.html
10063,"GAINSBOROUGH, Thomas",1751-1800,c. 1758,The Artist's Wife,"Oil on canvas, 76 x 64 cm",portrait,https://www.wga.hu/html/g/gainsbor/02wife.html
10064,"GAINSBOROUGH, Thomas",1751-1800,c. 1765,Wooded Landscape with Peasants in a Wagon,"Oil on panel, 36 x 30 cm",landscape,https://www.wga.hu/html/g/gainsbor/04wooded.html
10065,"GAINSBOROUGH, Thomas",1751-1800,c. 1776,Squire John Wilkinson,"Oil on canvas, 234 x 145 cm",portrait,https://www.wga.hu/html/g/gainsbor/06wilkin.html
10066,"GAINSBOROUGH, Thomas",1751-1800,c. 1778,Mrs Grace Dalrymple Elliot,"Oil on canvas, 234,3 x 153,6 cm",portrait,https://www.wga.hu/html/g/gainsbor/08elliot.html
10067,"GAINSBOROUGH, Thomas",1751-1800,c. 1780,Johann Christian Fischer,"Oil on canvas, 228,6 x 150,5 cm",portrait,https://www.wga.hu/html/g/gainsbor/09fische.html
10068,"GALEN, Nicolaes van",1651-1700,1657,Count Willem III Presides over the Execution of the Dishonest Bailiff in 1336,"Oil on canvas, 192 x 213 cm",historical,https://www.wga.hu/html/g/galen/willem3.html
10069,"GALEOTTI, Sebastiano",1701-1750,1720s,Ceiling decoration,Fresco,other,https://www.wga.hu/html/g/galeottx/ceiling.html
10070,"GALEOTTI, Sebastiano",1701-1750,c. 1709,Rebecca at the Well,Oil on canvas,religious,https://www.wga.hu/html/g/galeottx/rebecca.html
10071,"GALEOTTI, Sebastiano",1701-1750,c. 1710,Allegory of Charity,Fresco,mythological,https://www.wga.hu/html/g/galeottx/allegory.html
10072,"GALIZIA, Fede",1601-1650,-,Portrait of a Man,"Oil on panel trasferred to canvas, 42 x 34 cm",portrait,https://www.wga.hu/html/g/galizia/portra0.html
10073,"GALIZIA, Fede",1601-1650,-,Cherries in a Silver Compote,"Oil on panel, 28 x 42 cm",still-life,https://www.wga.hu/html/g/galizia/stillif5.html
10074,"GALIZIA, Fede",1601-1650,1592-95,Portrait of Paolo Morigia,"Oil on canvas, 88 x 79 cm",portrait,https://www.wga.hu/html/g/galizia/portra1.html
10075,"GALIZIA, Fede",1601-1650,1592-95,Portrait of Paolo Morigia (detail),Oil on canvas,portrait,https://www.wga.hu/html/g/galizia/portra1d.html
10076,"GALIZIA, Fede",1601-1650,1596,Judith with the Head of Holofernes,"Oil on canvas, 120 x 94 cm",religious,https://www.wga.hu/html/g/galizia/judith.html
10077,"GALIZIA, Fede",1601-1650,1600-05,Portrait of a Physician,"Oil on canvas, 54 x 42 cm",portrait,https://www.wga.hu/html/g/galizia/portra2.html
10078,"GALIZIA, Fede",1601-1650,1604,Portrait of Federico Zuccari,"Oil on canvas, 56 x 43 cm",portrait,https://www.wga.hu/html/g/galizia/portra3.html
10079,"GALIZIA, Fede",1601-1650,1607,Still-Life,"Oil on panel, 31 x 42 cm",still-life,https://www.wga.hu/html/g/galizia/stillif1.html
10080,"GALIZIA, Fede",1601-1650,1610s,Maiolica Basket of Fruit,Oil on canvas,still-life,https://www.wga.hu/html/g/galizia/basket.html
10081,"GALIZIA, Fede",1601-1650,c. 1593,Still-Life,"Oil on canvas, 30 x 41 cm",still-life,https://www.wga.hu/html/g/galizia/stillif3.html
10082,"GALIZIA, Fede",1601-1650,c. 1610,White Ceramic Bowl with Peaches and Red and Blue Plums,"Oil on panel, 30 x 42 cm",other,https://www.wga.hu/html/g/galizia/cer_bowl.html
10083,"GALIZIA, Fede",1601-1650,c. 1610,Still-Life,"Oil on panel, 29 x 41 cm",still-life,https://www.wga.hu/html/g/galizia/stillif2.html
10084,"GALIZIA, Fede",1601-1650,c. 1610,Still-Life,"Oil on panel, 31 x 43 cm",still-life,https://www.wga.hu/html/g/galizia/stillif4.html
10085,"GALLAIT, Louis",1801-1850,1845,Monk Feeding the Poor,"Oil on canvas, 100 x 82 cm",religious,https://www.wga.hu/html/g/gallait/0monk.html
10086,"GALLAIT, Louis",1801-1850,1848,Fisherman's Family,"Oil on panel, 40 x 32 cm",portrait,https://www.wga.hu/html/g/gallait/1fisher.html
10087,"GALLAIT, Louis",1801-1850,1853,Tasso in the Prison,"Oil on panel, 212 x 139 cm",mythological,https://www.wga.hu/html/g/gallait/2tasso.html
10088,"GALLARDO, Mateo",1601-1650,-,Jael and Sisera,"Oil on canvas, 146 x 163 cm",religious,https://www.wga.hu/html/g/gallardo/sisera.html
10089,"GALLE, Hieronymus",1651-1700,-,Still-Life,"Oil on canvas, 100 x 113 cm",still-life,https://www.wga.hu/html/g/galle_h/stillife.html
10090,"GALLEGO, Fernando",1451-1500,-,Triptych of St Catherine,Panel,religious,https://www.wga.hu/html/g/gallego/catherin.html
10091,"GALLEGO, Fernando",1451-1500,-,The Martyrdom of Saint Catherine,"Tempera on panel, 125 x 109 cm",religious,https://www.wga.hu/html/g/gallego/martyrdo.html
10092,"GALLEGO, Fernando",1451-1500,1490-95,Madonna of the Catholic Kings,"Tempera on panel, 123 x 112 cm",religious,https://www.wga.hu/html/g/gallego/catholic.html
10093,"GALLEGO, Fernando",1451-1500,c. 1470,Pietà,"Tempera on panel, 118 x 122 cm",religious,https://www.wga.hu/html/g/gallego/pieta.html
10094,"GALLEGO, Fernando",1451-1500,c. 1480,Epiphany,Panel,religious,https://www.wga.hu/html/g/gallego/epiphany.html
10095,"GALLEGO, Fernando",1451-1500,c. 1492,The Blessing Christ,"Oil on panel, 169 x 132 cm",religious,https://www.wga.hu/html/g/gallego/blessing.html
10096,"GALLEGO, Fernando",1451-1500,c. 1506,Flagellation,"Wood, 104 x 76 cm",religious,https://www.wga.hu/html/g/gallego/flagella.html
10097,"GALLEN-KALLELA, Akseli",1851-1900,1888,Démasquée,"Oil on canvas, 65 x 55 cm",other,https://www.wga.hu/html/g/gallenka/demasque.html
10098,"GALLIARI, Bernardino",1751-1800,-,The Marriage of Bacchus and Ariadne,Oil on canvas,mythological,https://www.wga.hu/html/g/galliari/bernardi/marriage.html
10099,"GALLIARI, Bernardino",1751-1800,-,The Marriage of Bacchus and Ariadne (detail),Oil on canvas,mythological,https://www.wga.hu/html/g/galliari/bernardi/marriagx.html
10100,"GALLIARI, Bernardino",1751-1800,1750s,Ballroom decoration,Fresco,interior,https://www.wga.hu/html/g/galliari/bernardi/crivelli.html
10101,"GALLOCHE, Louis",1701-1750,1725,Diana and Actaeon,"Oil on canvas, 81 x 47 cm",mythological,https://www.wga.hu/html/g/galloche/dianacte.html
10102,"GAMBARA, Lattanzio",1551-1600,1571-73,Ascension of Christ,Fresco,religious,https://www.wga.hu/html/g/gambara/ascensio.html
10103,"GANDOLFI, Gaetano",1751-1800,-,The Agony of Christ,"Oil on copper, 60 x 40 cm",religious,https://www.wga.hu/html/g/gandolfi/gaetano/agony.html
10104,"GANDOLFI, Gaetano",1751-1800,1768-75,Portrait of a Young Man,"Oil on canvas, 45 x 36 cm",portrait,https://www.wga.hu/html/g/gandolfi/gaetano/youngman.html
10105,"GANDOLFI, Gaetano",1751-1800,1770s,Study of a Bearded Man,"Oil on canvas, 44 x 37 cm",study,https://www.wga.hu/html/g/gandolfi/gaetano/bearded.html
10106,"GANDOLFI, Gaetano",1751-1800,1777,Portrait of a Young Woman,"Oil on canvas, 51 x 40 cm",portrait,https://www.wga.hu/html/g/gandolfi/gaetano/youngwom.html
10107,"GANDOLFI, Gaetano",1751-1800,1792-93,St Giustina and the Guardian Angel Commending the Soul of an Infant to the Madonna and Child,"Oil on canvas, 52 x 32 cm",religious,https://www.wga.hu/html/g/gandolfi/gaetano/giustina.html
10108,"GANDOLFI, Gaetano",1751-1800,c. 1775,The Holy Family,"Oil on canvas, 99 x 71 cm",religious,https://www.wga.hu/html/g/gandolfi/gaetano/holyfami.html
10109,"GANDOLFI, Gaetano",1751-1800,c. 1775,Venus at Vulcan's Forge,"Oil on canvas, 52 x 34 cm",mythological,https://www.wga.hu/html/g/gandolfi/gaetano/venus_vu.html
10110,"GANDOLFI, Gaetano",1751-1800,c. 1790,Joseph's Dream,"Oil on canvas, 95 x 76 cm",religious,https://www.wga.hu/html/g/gandolfi/gaetano/joseph_d.html
10111,"GANDOLFI, Mauro",1801-1850,-,Head Study of an Elderly Bearded Man,"Oil on canvas, 34 x 41 cm",study,https://www.wga.hu/html/g/gandolfi/mauro/bearded.html
10112,"GANDOLFI, Ubaldo",1751-1800,1770s,A Bearded Man,"Oil on canvas, 45 x 35 cm",portrait,https://www.wga.hu/html/g/gandolfi/ubaldo/bearded.html
10113,"GANDOLFI, Ubaldo",1751-1800,c. 1767,The Visitation,"Oil on canvas, 137 x 101 cm",religious,https://www.wga.hu/html/g/gandolfi/ubaldo/visitati.html
10114,GANDOLFINO DA RORETO,1451-1500,-,Genealogy of the Virgin,Tempera on canvas,religious,https://www.wga.hu/html/g/gandolf/virgin_g.html
10115,GANDOLFINO DA RORETO,1451-1500,1493,Assumption of the Virgin with Saints,Tempera on panel,religious,https://www.wga.hu/html/g/gandolf/polyptyc.html
10116,"GARBIERI, Lorenzo",1601-1650,1610-15,Dead Christ,"Oil on canvas, 71 x 89 cm",religious,https://www.wga.hu/html/g/garbieri/deadchri.html
10117,"GARBIERI, Lorenzo",1601-1650,1610s,St Anthony Abbot Burying St Paul the Hermit,"Oil on canvas, 72 x 55 cm",religious,https://www.wga.hu/html/g/garbieri/anthony.html
10118,"GARCIA, Pere",1451-1500,1460-70,Madonna with Music-Making Angels,"Wood, 189 x 134 cm",religious,https://www.wga.hu/html/g/garcia/madonna.html
10119,"GAREMIJN, Jan Antoon",1751-1800,1759,"Garden of the Willaeys-Vleys Family at Groeninge, Bruges","Oil on canvas, 179 x 93 cm",landscape,https://www.wga.hu/html/g/garemijn/garden_w.html
10120,"GAREMIJN, Jan Antoon",1751-1800,1778,The Pandreitje in Bruges,"Oil on canvas, 79,5 x 108,5 cm",landscape,https://www.wga.hu/html/g/garemijn/pandreit.html
10121,"GARGIULO, Domenico",1601-1650,-,Rebecca and Eliezer at the Well,"Oil on canvas, 135 x 157 cm",religious,https://www.wga.hu/html/g/gargiulo/rebecca.html
10122,"GARGIULO, Domenico",1601-1650,1640,Moses and Aaron Collecting Alms for the Building of the Temple,Fresco,religious,https://www.wga.hu/html/g/gargiulo/certosa2.html
10123,"GARGIULO, Domenico",1601-1650,1640-42,View of the Lay Brothers' Choir,Fresco,interior,https://www.wga.hu/html/g/gargiulo/certosa.html
10124,"GARGIULO, Domenico",1601-1650,1640-42,Wall decoration,Fresco,mythological,https://www.wga.hu/html/g/gargiulo/certosa1.html
10125,"GARNIER, Etienne-Barthélemy",1751-1800,-,Diana and Her Nymphs,"Oil on canvas, 125 x 179 cm",mythological,https://www.wga.hu/html/g/garnie/diana_ny.html
10126,"GARNIER, François",1601-1650,1644,Cherries and Gooseberries on a Table,"Oil on panel, 24 x 35 cm",still-life,https://www.wga.hu/html/g/garnier/cherries.html
10127,GAROFALO,1501-1550,-,Christ and the Adulteress,"Oil on panel, 55 x 44 cm",religious,https://www.wga.hu/html/g/garofalo/adultere.html
10128,GAROFALO,1501-1550,-,The Circumcision,"Oil on wood, 38 x 53 cm",religious,https://www.wga.hu/html/g/garofalo/circumcx.html
10129,GAROFALO,1501-1550,-,Dispute in the Temple,Oil on wood,religious,https://www.wga.hu/html/g/garofalo/dispute.html
10130,GAROFALO,1501-1550,1508-10,Adoration of the Magi,"Oil on panel, 58 x 48 cm",religious,https://www.wga.hu/html/g/garofalo/adormagi.html
10131,GAROFALO,1501-1550,1510-20,Ascension of Christ,"Oil on panel, 314 x 204,5",religious,https://www.wga.hu/html/g/garofalo/ascensio.html
10132,GAROFALO,1501-1550,1519,The Circumcision,"Oil on wood, 37 x 50 cm",religious,https://www.wga.hu/html/g/garofalo/circumci.html
10133,GAROFALO,1501-1550,1520s,Entombment,"Oil on canvas, 53 x 76 cm",religious,https://www.wga.hu/html/g/garofalo/entombme.html
